G N M I OF
2 100 100 18 218777.98
2 100 100 19 254846.95
2 100 100 20 265426.34
2 100 100 21 218429.66
2 100 100 22 213418.89
2 100 100 23 215846.32
2 100 100 24 198090.68
2 100 100 25 248992.1
2 100 100 26 251479.82
2 100 100 27 206705.94
2 100 100 28 267125.73
2 100 100 29 241402.73
2 100 100 30 231552.17
2 100 100 31 210918.57
2 100 100 32 238894.54
2 100 100 33 244284.39
2 100 100 34 217273.89
2 100 100 35 245588.62
2 100 100 36 210717.68
2 100 100 37 234677.09
2 100 100 38 225927.34
2 100 100 39 244904.85
2 100 100 40 212710.13
2 100 100 41 229606.85
2 100 100 42 275710.06
2 100 100 43 202788.86
2 100 100 44 220765.17
2 100 100 45 216100.79
2 100 100 46 206030.73
2 100 100 47 214348.92
2 100 100 48 269774.74
2 100 100 49 240616.2
2 100 140 0 351835.88
2 100 140 1 354067.19
2 100 140 2 322820.71
2 100 140 3 303654.89
2 100 140 4 347868.83
2 100 140 5 314366.11
2 100 140 6 341179.35
2 100 140 7 349074.69
2 100 140 8 340253.61
2 100 140 9 337733.65
2 100 140 10 344197.65
2 100 140 11 312715.15
2 100 140 12 262615.22
2 100 140 13 363286
2 100 140 14 330100.06
2 100 140 15 320208.21
2 100 140 16 311242.93
2 100 140 17 341483.79
2 100 140 18 356479.69
2 100 140 19 349386.32
2 100 140 20 346577.24
2 100 140 21 349599.48
2 100 140 22 330093.99
2 100 140 23 293335.43
2 100 140 24 316481.65
2 100 140 25 323802.85
2 100 140 26 354096.41
2 100 140 27 301892.64
2 100 140 28 338191.41
2 100 140 29 320041.22
2 100 140 30 332574.69
2 100 140 31 346084.8
2 100 140 32 346419.51
2 100 140 33 376379.25
2 100 140 34 319891.69
2 100 140 35 330628.65
2 100 140 36 401479.55
2 100 140 37 311255.26
2 100 140 38 305423.88
2 100 140 39 271481.58
2 100 140 40 328532.37
2 100 140 41 321234.09
2 100 140 42 343613.11
2 100 140 43 338781.25
2 100 140 44 329057.51
2 100 140 45 367083.72
2 100 140 46 297008.62
2 100 140 47 308634.55
2 100 140 48 352959.44
2 100 140 49 321797.96
2 100 60 0 122910.64
2 100 60 1 137861.94
2 100 60 2 125409.46
2 100 60 3 177096.64
2 100 60 4 130473.78
2 100 60 5 134957.36
2 100 60 6 134068.9
2 100 60 7 156851.52
2 100 60 8 159512.58
2 100 60 9 125804.3
2 100 60 10 134122
2 100 60 11 147509.89
2 100 60 12 120481.95
2 100 60 13 141415.94
2 100 60 14 157674.44
2 100 60 15 136918.17
2 100 60 16 136093.74
2 100 60 17 145109.45
2 100 60 18 137510.89
2 100 60 19 149135.75
2 100 60 20 118361.82
2 100 60 21 110390.14
2 100 60 22 164099.32
2 100 60 23 124709.99
2 100 60 24 119043.46
2 100 60 25 133922.24
2 100 60 26 134206.83
2 100 60 27 154721.32
2 100 60 28 143261.06
2 100 60 29 159353.72
2 100 60 30 125176.24
2 100 60 31 126060.16
2 100 60 32 131315.13
2 100 60 33 112351.51
2 100 60 34 122756.95
2 100 60 35 143011.24
2 100 60 36 130470.66
2 100 60 37 128255.55
2 100 60 38 118919.29
2 100 60 39 170382.23
2 100 60 40 125609.11
2 100 60 41 140115.7
2 100 60 42 130844.98
2 100 60 43 139936.86
2 100 60 44 175966.67
2 100 60 45 128574.5
2 100 60 46 130428.26
2 100 60 47 128478.6
2 100 60 48 140746.16
2 100 60 49 129108.55
2 20 12 0 3361.51
2 20 12 1 3876.16
2 20 12 2 3794.62
2 20 12 3 6794.97
2 20 12 4 4733.07
2 20 12 5 3600.04
2 20 12 6 4140.32
2 20 12 7 3942.42
2 20 12 8 3649.96
2 20 12 9 7293.16
2 20 12 10 4751.38
2 20 12 11 5272.36
2 20 12 12 4307.22
2 20 12 13 5232.71
2 20 12 14 5948.87
2 20 12 15 4823.49
2 20 12 16 4814.4
2 20 12 17 5124.29
2 20 12 18 6276.85
2 20 12 19 3608.75
2 20 12 20 4184.47
2 20 12 21 5810.43
2 20 12 22 3888.81
2 20 12 23 4491.64
2 20 12 24 3612.32
2 20 12 25 2411.72
2 20 12 26 3527.55
2 20 12 27 4517.42
2 20 12 28 6384.02
2 20 12 29 4929.32
2 20 12 30 3332.88
2 20 12 31 4294.28
2 20 12 32 5192.68
2 20 12 33 2480.8
2 20 12 34 5193.44
2 20 12 35 3344.22
2 20 12 36 5898.96
2 20 12 37 3202.83
2 20 12 38 4964.92
2 20 12 39 4475.02
2 20 12 40 4574.56
2 20 12 41 5227.58
2 20 12 42 4476.6
2 20 12 43 5224.59
2 20 12 44 4430.13
2 20 12 45 4635.85
2 20 12 46 5431.9
2 20 12 47 5911.18
2 20 12 48 4341.2
2 20 12 49 2153.97
2 20 20 0 6292.9
2 20 20 1 9873.38
2 20 20 2 6422.72
2 20 20 3 8700.98
2 20 20 4 6155.11
2 20 20 5 5865.98
2 20 20 6 7147.94
2 20 20 7 11896.28
2 20 20 8 9617.28
2 20 20 9 6598.23
2 20 20 10 9150
2 20 20 11 5577.46
2 20 20 12 8410.01
2 20 20 13 7564.69
2 20 20 14 9903.32
2 20 20 15 7849.14
2 20 20 16 8663.68
2 20 20 17 7467
2 20 20 18 7487.04
2 20 20 19 8462.13
2 20 20 20 5644.96
2 20 20 21 7455.87
2 20 20 22 5344.99
2 20 20 23 9065.58
2 20 20 24 7190.01
2 20 20 25 5792.42
2 20 20 26 8327.72
2 20 20 27 7252.62
2 20 20 28 5951.65
2 20 20 29 10506.13
2 20 20 30 12588.42
2 20 20 31 7571.49
2 20 20 32 4551.46
2 20 20 33 7950.94
2 20 20 34 7858.57
2 20 20 35 8457.98
2 20 20 36 6608.75
2 20 20 37 7736.84
2 20 20 38 7379.23
2 20 20 39 6547.03
2 20 20 40 5070.89
2 20 20 41 7227.85
2 20 20 42 10086.24
2 20 20 43 7588
2 20 20 44 5485.78
2 20 20 45 7499.13
2 20 20 46 8546.51
2 20 20 47 9040.78
2 20 20 48 6827.63
2 20 20 49 8342.16
2 20 28 0 12704.03
2 20 28 1 11732.7
2 20 28 2 9370.66
2 20 28 3 12793.24
2 20 28 4 14330.18
2 20 28 5 10251.86
2 20 28 6 17917.1
2 20 28 7 15709.17
2 20 28 8 10210.03
2 20 28 9 10112.69
2 20 28 10 12177.47
2 20 28 11 12722.42
2 20 28 12 10923.46
2 20 28 13 12591.87
2 20 28 14 13948.89
2 20 28 15 12046.67
2 20 28 16 13904.41
2 20 28 17 10275.76
2 20 28 18 12636.25
2 20 28 19 13480.76
2 20 28 20 12508.7
2 20 28 21 13153.1
2 20 28 22 8745.89
2 20 28 23 9774.05
2 20 28 24 12007.14
2 20 28 25 7441.12
2 20 28 26 10759.16
2 20 28 27 9622.31
2 20 28 28 12772.17
2 20 28 29 9947.24
2 20 28 30 12952.04
2 20 28 31 10513.62
2 20 28 32 11500.24
2 20 28 33 13134.65
2 20 28 34 10318
2 20 28 35 8071.41
2 20 28 36 11584.99
2 20 28 37 11809.49
2 20 28 38 13011.57
2 20 28 39 11545.39
2 20 28 40 10466.1
2 20 28 41 14852.61
2 20 28 42 11901.75
2 20 28 43 12540.97
2 20 28 44 10934.72
2 20 28 45 10678.3
2 20 28 46 11837.69
2 20 28 47 13041.34
2 20 28 48 13283.29
2 20 28 49 11376.14
2 40 24 0 20553.84
2 40 24 1 21364.55
2 40 24 2 21977
2 40 24 3 20020.32
2 40 24 4 13073.18
2 40 24 5 19540.43
2 40 24 6 20822.19
2 40 24 7 24147.16
2 40 24 8 22948.83
2 40 24 9 18951.26
2 40 24 10 20353.15
2 40 24 11 28659.3
2 40 24 12 16255.77
2 40 24 13 17445.59
2 40 24 14 18765.19
2 40 24 15 18464.42
2 40 24 16 13538.44
2 40 24 17 18493.6
2 40 24 18 22813.09
2 40 24 19 17662.93
2 40 24 20 20278.18
2 40 24 21 24410.18
2 40 24 22 15822.29
2 40 24 23 18026.45
2 40 24 24 19222.61
2 40 24 25 24564.15
2 40 24 26 20397.14
2 40 24 27 22269.43
2 40 24 28 20680.06
2 40 24 29 25447.7
2 40 24 30 16747.34
2 40 24 31 18582.58
2 40 24 32 20222.33
2 40 24 33 15036.28
2 40 24 34 19457.61
2 40 24 35 20731.84
2 40 24 36 21490.13
2 40 24 37 15688.56
2 40 24 38 20764.57
2 40 24 39 28400.65
2 40 24 40 16026.7
2 40 24 41 20228.38
2 40 24 42 18227.56
2 40 24 43 17882.43
2 40 24 44 16482.4
2 40 24 45 17037.27
2 40 24 46 17810.77
2 40 24 47 23557.78
2 40 24 48 14111.22
2 40 24 49 19701.41
2 40 40 0 33279.78
2 40 40 1 37185.93
2 40 40 2 33705.33
2 40 40 3 27930.43
2 40 40 4 38426.36
2 40 40 5 38934.37
2 40 40 6 41012.52
2 40 40 7 32421.22
2 40 40 8 45767.92
2 40 40 9 39825.38
2 40 40 10 30610.47
2 40 40 11 37288.21
2 40 40 12 40835.2
2 40 40 13 35342.84
2 40 40 14 36725.31
2 40 40 15 41225.87
2 40 40 16 26622.99
2 40 40 17 33342.52
2 40 40 18 32534.52
2 40 40 19 33639.09
2 40 40 20 38900.55
2 40 40 21 43377.89
2 40 40 22 33504.03
2 40 40 23 33845.47
2 40 40 24 40934.96
2 40 40 25 32533.48
2 40 40 26 39828.49
2 40 40 27 37591.2
2 40 40 28 33016.1
2 40 40 29 41040.05
2 40 40 30 25915.39
2 40 40 31 36350.88
2 40 40 32 44126.98
2 40 40 33 35796.64
2 40 40 34 27475.62
2 40 40 35 31029.48
2 40 40 36 27519.43
2 40 40 37 33923.96
2 40 40 38 32382.87
2 40 40 39 32870.91
2 40 40 40 32504.05
2 40 40 41 46757.21
2 40 40 42 37528.02
2 40 40 43 35508.71
2 40 40 44 29265.75
2 40 40 45 30439.37
2 40 40 46 31135.38
2 40 40 47 34609.26
2 40 40 48 38751.38
2 40 40 49 39356.11
2 40 56 0 41428.6
2 40 56 1 47936.14
2 40 56 2 46879.92
2 40 56 3 44424.51
2 40 56 4 50905.45
2 40 56 5 52155.22
2 40 56 6 46720.91
2 40 56 7 40326.53
2 40 56 8 52298.92
2 40 56 9 40125.2
2 40 56 10 59004.9
2 40 56 11 45920.06
2 40 56 12 42198
2 40 56 13 53638.3
2 40 56 14 61261.86
2 40 56 15 43931.1
2 40 56 16 49228.25
2 40 56 17 55273.43
2 40 56 18 44892.29
