G N M I OF
2 100 60 44 177279.88
2 100 60 45 130908.15
2 100 60 46 133200.16
2 100 60 47 130258.39
2 100 60 48 142316.55
2 100 60 49 130742.11
2 20 12 0 3375.47
2 20 12 1 3966.92
2 20 12 2 3999.67
2 20 12 3 7210.36
2 20 12 4 4839.86
2 20 12 5 4028.5
2 20 12 6 4181.91
2 20 12 7 4202.98
2 20 12 8 3677.69
2 20 12 9 7505.89
2 20 12 10 4967.52
2 20 12 11 5307.2
2 20 12 12 4461.74
2 20 12 13 5499.11
2 20 12 14 6292.26
2 20 12 15 5219.51
2 20 12 16 4902.19
2 20 12 17 5161.19
2 20 12 18 6378.37
2 20 12 19 3722.8
2 20 12 20 4327.85
2 20 12 21 5855.67
2 20 12 22 3932.73
2 20 12 23 4801.73
2 20 12 24 3693.98
2 20 12 25 2505.12
2 20 12 26 3594.82
2 20 12 27 4589.8
2 20 12 28 6668.13
2 20 12 29 4949.84
2 20 12 30 3508.38
2 20 12 31 4496.72
2 20 12 32 5343.3
2 20 12 33 2541.65
2 20 12 34 5298.57
2 20 12 35 3468.01
2 20 12 36 6099.66
2 20 12 37 3368.19
2 20 12 38 5212.7
2 20 12 39 4578.97
2 20 12 40 4843.47
2 20 12 41 5598.9
2 20 12 42 4614.27
2 20 12 43 5238.99
2 20 12 44 4569.04
2 20 12 45 4723.75
2 20 12 46 5679.47
2 20 12 47 6018.63
2 20 12 48 4502.97
2 20 12 49 2189.41
2 20 20 0 6430.51
2 20 20 1 10449.79
2 20 20 2 6776.59
2 20 20 3 9198.84
2 20 20 4 6509
2 20 20 5 6239.16
2 20 20 6 7109.29
2 20 20 7 12910.4
2 20 20 8 9969.12
2 20 20 9 6965.35
2 20 20 10 9549.83
2 20 20 11 5712.89
2 20 20 12 8675.97
2 20 20 13 7982.3
2 20 20 14 10225.18
2 20 20 15 8148.68
2 20 20 16 9125.5
2 20 20 17 7926.23
2 20 20 18 8031.48
2 20 20 19 8892.23
2 20 20 20 5815.01
2 20 20 21 7868.83
2 20 20 22 5408.74
2 20 20 23 9359.78
2 20 20 24 7640.41
2 20 20 25 5901.03
2 20 20 26 8605.77
2 20 20 27 7486.39
2 20 20 28 6160.68
2 20 20 29 11048.18
2 20 20 30 12790.86
2 20 20 31 7729.57
2 20 20 32 4718.82
