G N M I OF
2 40 40 12 40882.47
2 40 40 13 35493.95
2 40 40 14 37253.78
2 40 40 15 41964.19
2 40 40 16 27030.57
2 40 40 17 33864.19
2 40 40 18 32707.38
2 40 40 19 34143.13
2 40 40 20 39310.1
2 40 40 21 43691.03
2 40 40 22 34247.96
2 40 40 23 34173.52
2 40 40 24 41201.35
2 40 40 25 33175.87
2 40 40 26 40012.83
2 40 40 27 37687.53
2 40 40 28 33474.28
2 40 40 29 41373.41
2 40 40 30 26421.15
2 40 40 31 37399.5
2 40 40 32 44717.17
2 40 40 33 36075.84
2 40 40 34 27991.56
2 40 40 35 31931.08
2 40 40 36 27969.79
2 40 40 37 34449.4
2 40 40 38 32983.41
2 40 40 39 33640.09
2 40 40 40 33224.01
2 40 40 41 47366.14
2 40 40 42 38320.42
2 40 40 43 35867.84
2 40 40 44 29490.17
2 40 40 45 30790.43
2 40 40 46 31468.01
2 40 40 47 34710.46
2 40 40 48 38930.65
2 40 40 49 40309.41
2 40 56 0 42052.79
2 40 56 1 48151.59
2 40 56 2 47711.21
2 40 56 3 45711.24
2 40 56 4 51554.43
2 40 56 5 53711.56
2 40 56 6 47805.37
2 40 56 7 41471.38
2 40 56 8 53343.54
2 40 56 9 40436.98
2 40 56 10 59603.38
2 40 56 11 46534.26
2 40 56 12 43199.28
2 40 56 13 54257.36
2 40 56 14 61704.29
2 40 56 15 44060.67
2 40 56 16 49833.54
2 40 56 17 55884.27
2 40 56 18 45439.32
2 40 56 19 56555.35
2 40 56 20 45685.58
2 40 56 21 45298.45
2 40 56 22 52497.49
2 40 56 23 33899.71
2 40 56 24 46049.16
2 40 56 25 40669.04
2 40 56 26 52333.25
2 40 56 27 58392
2 40 56 28 48481.19
2 40 56 29 68784.85
2 40 56 30 52614.4
2 40 56 31 47029.92
2 40 56 32 68732.9
2 40 56 33 54446.75
2 40 56 34 71405.75
2 40 56 35 60093.87
2 40 56 36 63912.69
2 40 56 37 55319.08
2 40 56 38 46970.97
2 40 56 39 36752.06
2 40 56 40 54705.61
2 40 56 41 56408.83
2 40 56 42 53803.85
2 40 56 43 50428.63
2 40 56 44 61453.62
2 40 56 45 46821.41
2 40 56 46 40637.33
2 40 56 47 54251.3
2 40 56 48 52444.75
2 40 56 49 45301.51
2 80 112 0 222478.64
2 80 112 1 226660.52
2 80 112 2 230219.54
2 80 112 3 226555.1
2 80 112 4 216313.56
2 80 112 5 221161.52
2 80 112 6 230733.4
2 80 112 7 192858.42
2 80 112 8 224094.61
2 80 112 9 207312.93
2 80 112 10 192159
2 80 112 11 211345.26
2 80 112 12 204039.61
2 80 112 13 215725
2 80 112 14 224459.9
2 80 112 15 182088.31
2 80 112 16 235279.09
2 80 112 17 209171.24
2 80 112 18 241303.71
2 80 112 19 228400.04
2 80 112 20 209436.03
2 80 112 21 193091.22
2 80 112 22 227803.16
2 80 112 23 190209.17
2 80 112 24 196477.42
2 80 112 25 216208.22
2 80 112 26 206439.92
2 80 112 27 210155.26
2 80 112 28 227138.11
2 80 112 29 193870.61
2 80 112 30 181962.87
2 80 112 31 173275.84
2 80 112 32 197975.37
2 80 112 33 223879.39
