G N M I OF
2 40 56 7 40327.17
2 40 56 8 53330.34
2 40 56 9 40089.33
2 40 56 10 59950.58
2 40 56 11 46081.66
2 40 56 12 42349
2 40 56 13 53457.86
2 40 56 14 61148.77
2 40 56 15 44462.67
2 40 56 16 49732.89
2 40 56 17 55173.83
2 40 56 18 45123.29
2 40 56 19 56553.59
2 40 56 20 46481.91
2 40 56 21 45032.16
2 40 56 22 52015.37
2 40 56 23 33697.59
2 40 56 24 45696.19
2 40 56 25 39775.3
2 40 56 26 51540.49
2 40 56 27 57914.47
2 40 56 28 48037.77
2 40 56 29 68211.29
2 40 56 30 52832.78
2 40 56 31 47527.27
2 40 56 32 68208.32
2 40 56 33 54122.74
2 40 56 34 72191.31
2 40 56 35 59899.13
2 40 56 36 63110.65
2 40 56 37 54905.71
2 40 56 38 46976.59
2 40 56 39 36464.08
2 40 56 40 55217.29
2 40 56 41 56899.26
2 40 56 42 53423.03
2 40 56 43 50124.33
2 40 56 44 61934.34
2 40 56 45 46891.07
2 40 56 46 40329.91
2 40 56 47 54300.87
2 40 56 48 52188.29
2 40 56 49 44960.2
2 80 112 0 223822.07
2 80 112 1 226916.23
2 80 112 2 232146.5
2 80 112 3 227191.39
2 80 112 4 216641.28
2 80 112 5 218510.2
2 80 112 6 231609.31
2 80 112 7 194527.11
2 80 112 8 225187.02
2 80 112 9 207410.05
2 80 112 10 193703.9
2 80 112 11 209093.18
2 80 112 12 203595.34
2 80 112 13 213959.59
2 80 112 14 224343.66
2 80 112 15 182824.14
2 80 112 16 235592.59
2 80 112 17 209979.15
2 80 112 18 241218.91
2 80 112 19 228653.24
2 80 112 20 209144.02
2 80 112 21 192356.34
2 80 112 22 229135.76
2 80 112 23 190666.83
2 80 112 24 195168.12
2 80 112 25 214491.5
2 80 112 26 203569.53
2 80 112 27 207874.23
2 80 112 28 225797.85
2 80 112 29 192913.36
2 80 112 30 180811.33
2 80 112 31 174561.09
2 80 112 32 197458.01
2 80 112 33 223538.17
